Date,AMC,AMD,BABA,BB,BBBY,BCH,BTC-USD,DOGE-USD,ETC,ETH,GME,LTC,MVIS,NVDA,SPY,TSLA,XRP
2017-08-25,10.214207649230957,12.430000305175781,171.74000549316406,8.989999771118164,24.747623443603516,27.046855926513672,4371.60009765625,0.0017900000093504786,34.5,21.813064575195312,16.293359756469727,39.36960983276367,2.1500000953674316,162.28187561035156,228.163818359375,69.61000061035156,
2017-08-26,,,,,,,4352.39990234375,0.00177800003439188,,,,,,,,,
2017-08-27,,,,,,,4382.8798828125,0.0017600000137463212,,,,,,,,,
2017-08-28,10.332977294921875,12.229999542236328,168.3000030517578,8.989999771118164,24.800764083862305,26.84934425354004,4382.66015625,0.001825000043027103,34.5,22.048458099365234,16.083393096923828,38.82371520996094,2.190000057220459,163.43101501464844,228.1731719970703,69.13200378417969,
2017-08-29,10.174616813659668,12.149999618530273,167.41000366210938,9.029999732971191,24.747623443603516,27.065088272094727,4579.02001953125,0.001867000013589859,34.5,22.166149139404297,15.74744987487793,39.16590881347656,2.25,163.16355895996094,228.4343719482422,69.47200012207031,
2017-08-30,10.649696350097656,12.670000076293945,171.25,9.069999694824219,24.685623168945312,26.682220458984375,4565.2998046875,0.002104999963194132,34.5,22.440776824951172,15.781042098999023,39.288116455078125,2.4100000858306885,164.13438415527344,229.5166015625,70.63600158691406,
2017-08-31,10.610106468200684,13.0,171.74000549316406,9.270000457763672,24.4376163482666,26.594099044799805,4703.39013671875,0.0020639998838305473,34.5,22.950796127319336,15.537482261657715,39.62220001220703,2.369999885559082,167.85934448242188,230.89739990234375,71.18000030517578,
2017-09-01,11.20395565032959,13.1899995803833,171.0399932861328,9.180000305175781,24.659046173095703,26.986080169677734,4892.009765625,0.0025430000387132168,34.5,23.382349014282227,15.680257797241211,39.75254440307617,2.299999952316284,168.86981201171875,231.2239532470703,71.08000183105469,
2017-09-02,,,,,,,4578.77001953125,0.002225999953225255,,,,,,,,,
2017-09-03,,,,,,,4582.9599609375,0.00215300009585917,,,,,,,,,
2017-09-04,,,,,,,4236.31005859375,0.0017859999788925052,,,,,,,,,
2017-09-05,11.481085777282715,12.920000076293945,169.9199981689453,9.010000228881836,24.809627532958984,26.885807037353516,4376.52978515625,0.0019079999765381217,34.5,23.4608097076416,15.907020568847656,39.54884338378906,2.299999952316284,164.36227416992188,229.5632781982422,69.91799926757812,
2017-09-06,11.40190601348877,12.859999656677246,168.13999938964844,9.0600004196167,24.703336715698242,26.515092849731445,4597.1201171875,0.002019000006839633,34.5,23.61774253845215,16.242965698242188,39.63032913208008,2.4200000762939453,164.26318359375,230.346923828125,68.90599822998047,
2017-09-07,10.926828384399414,12.630000114440918,170.47999572753906,9.109999656677246,24.490755081176758,26.752107620239258,4599.8798828125,0.0019280000124126673,34.5,23.69620704650879,16.14872932434082,39.923641204833984,2.809999942779541,165.02601623535156,230.31893920898438,70.12200164794922,
2017-09-08,10.725966453552246,12.25,169.0,9.010000228881836,25.066490173339844,26.347970962524414,4228.75,0.0015960000455379486,34.5,23.93160057067871,16.405738830566406,40.013282775878906,3.069999933242798,162.1629638671875,230.04835510253906,68.68000030517578,
2017-09-09,,,,,,,4226.06005859375,0.001567999948747456,,,,,,,,,
2017-09-10,,,,,,,4122.93994140625,0.001395000028423965,,,,,,,,,
2017-09-11,11.328548431396484,12.550000190734863,174.05999755859375,9.15999984741211,24.499614715576172,26.7581844329834,4161.27001953125,0.001462999964132905,34.5,23.69620704650879,16.44857406616211,40.2251091003418,2.950000047683716,167.42343139648438,232.50205993652344,72.73799896240234,
2017-09-12,11.408891677856445,12.300000190734863,175.30999755859375,9.279999732971191,25.69536590576172,26.709566116333008,4130.81005859375,0.0014400000218302011,34.5,23.93160057067871,16.731285095214844,39.67107009887695,2.950000047683716,168.02774047851562,233.28578186035156,72.55000305175781,
2017-09-13,12.212334632873535,12.220000267028809,178.97000122070312,9.180000305175781,26.12938117980957,26.347970962524414,3882.590087890625,0.001398000051267445,34.5,23.735437393188477,17.151065826416016,39.70363998413086,3.1700000762939453,168.78065490722656,233.39768981933594,73.24600219726562,
2017-09-14,12.895261764526367,12.260000228881836,177.10000610351562,9.270000457763672,25.69314956665039,26.28719711303711,3154.949951171875,0.0008539999835193157,34.5,23.500045776367188,17.202465057373047,39.80143356323242,2.9000000953674316,167.81968688964844,233.32308959960938,75.52799987792969,
2017-09-15,13.618361473083496,12.520000457763672,176.6999969482422,9.270000457763672,25.52400016784668,26.648794174194336,3637.52001953125,0.0008650000090710819,34.5,23.69620704650879,17.382373809814453,39.86662292480469,2.880000114440918,178.42977905273438,233.6371612548828,75.96199798583984,
2017-09-16,,,,,,,3625.0400390625,0.0008670000243000686,,,,,,,,,
2017-09-17,,,,,,,3582.8798828125,0.0008529999759048223,,,,,,,,,
2017-09-18,13.377327919006348,13.079999923706055,179.97999572753906,9.260000228881836,24.3043270111084,26.5910587310791,4065.199951171875,0.0009469999931752682,34.5,24.04929542541504,17.27956771850586,39.36960983276367,2.869999885559082,185.80038452148438,234.1341094970703,77.0,
2017-09-19,12.573884010314941,13.119999885559082,180.07000732421875,9.140000343322754,24.0639591217041,26.484708786010742,3924.969970703125,0.0008900000248104334,34.5,24.088529586791992,17.296703338623047,38.7829704284668,2.7100000381469727,185.6022186279297,234.36846923828125,75.0199966430664,
2017-09-20,12.332852363586426,13.739999771118164,177.9499969482422,9.850000381469727,20.244709014892578,26.84630584716797,3905.949951171875,0.0008619999862276018,34.5,24.12775993347168,17.219600677490234,38.79114532470703,2.700000047683716,184.10633850097656,234.45285034179688,74.78199768066406,
2017-09-21,12.694400787353516,13.40999984741211,177.38999938964844,9.609999656677246,19.808473587036133,28.0860652923584,3631.0400390625,0.000754999986384064,34.5,23.77467155456543,17.03969383239746,38.300331115722656,2.640000104904175,179.07369995117188,233.82469177246094,73.2959976196289,
2017-09-22,12.774744987487793,13.300000190734863,178.13999938964844,9.130000114440918,20.03994369506836,28.2562313079834,3630.699951171875,0.0007719999994151294,34.5,24.01006507873535,17.14249610900879,37.94857406616211,2.680000066757202,177.33013916015625,233.87156677246094,70.21800231933594,
2017-09-23,,,,,,,3792.39990234375,0.0009539999882690609,,,,,,,,,
2017-09-24,,,,,,,3682.840087890625,0.0008919999818317592,,,,,,,,,
2017-09-25,12.172163009643555,12.609999656677246,169.58999633789062,9.140000343322754,20.529592514038086,27.925020217895508,3926.070068359375,0.0011409999569877982,34.5,24.04929542541504,17.51087760925293,38.48030471801758,2.5799999237060547,169.40480041503906,233.3933868408203,68.99800109863281,
2017-09-26,12.37302303314209,12.449999809265137,167.02000427246094,9.140000343322754,20.422758102416992,27.70927619934082,3892.35009765625,0.001151000033132732,34.5,24.441617965698242,17.690784454345703,38.04673767089844,2.640000104904175,170.3558349609375,233.53402709960938,69.05000305175781,
2017-09-27,12.453368186950684,12.739999771118164,170.99000549316406,9.229999542236328,20.69874382019043,27.581653594970703,4200.669921875,0.0011729999678209424,34.5,25.0693302154541,17.862123489379883,38.218528747558594,2.75,174.09063720703125,234.44349670410156,68.19400024414062,
2017-09-28,12.051645278930664,12.739999771118164,170.24000549316406,10.470000267028809,20.894601821899414,27.64850425720215,4174.72998046875,0.00107999995816499,34.5,25.461650848388672,17.81072425842285,38.34123229980469,2.7100000381469727,174.04112243652344,234.7247772216797,67.91999816894531,
